SCAN_NO_TECH	{No scan technology installed}
PROC_FLAVOUR_RADIO_3	{%PROCNAME% Antenna}
PROC_FLAVOUR_FACTORY_1	{%PROCNAME% Depot}
PROC_FLAVOUR_FACTORY_2	{%PROCNAME% Assembly}
PROC_FLAVOUR_FACTORY_3	{%PROCNAME% Workshop}
PROC_FLAVOUR_ATLAS_1	{Nexus %PROCNAME%}
PROC_FLAVOUR_ATLAS_2	{%PROCNAME% Convergence}
PROC_FLAVOUR_ABANDON	{Derelict}
WPN_NAME_FORMAT_1	{%NOUN% of %PROCNAME%}
WPN_NAME_FORMAT_2	{The %PROCNAME% %VERSION%}
WPN_NAME_FORMAT_3	{Experiment %SERIALNUM%}
WPN_NAME_FORMAT_4	{%PROCNAME% Mark %NUMERAL%}
WPN_NAME_FORMAT_5	{%ADJECTIVE% %PROCNAME%}
WPN_NAME_FORMAT_6	{%SERIALNUM% %ADJECTIVE% %NOUN%}
WPN_NAME_FORMAT_7	{%ADJECTIVE% %NOUN% %NUMERAL%}
WPN_NAME_FORMAT_8	{%ADJECTIVE% %NOUN% %VERSION%}
PROC_ADJECTIVE_1	{Certain}
PROC_ADJECTIVE_2	{Comforting}
PROC_ADJECTIVE_3	{Complete}
PROC_ADJECTIVE_4	{Defiant}
PROC_ADJECTIVE_5	{Elevated}
PROC_ADJECTIVE_6	{Fading}
PROC_ADJECTIVE_7	{Final}
PROC_ADJECTIVE_8	{Fleeting}
PROC_ADJECTIVE_9	{Hidden}
PROC_ADJECTIVE_10	{Imperfect}
PROC_ADJECTIVE_11	{Intrepid}
PROC_ADJECTIVE_12	{Lucid}
PROC_ADJECTIVE_13	{Mercurial}
PROC_ADJECTIVE_14	{Obedient}
PROC_ADJECTIVE_15	{Obscured}
PROC_ADJECTIVE_16	{Reflex}
PROC_ADJECTIVE_17	{Rising}
PROC_ADJECTIVE_18	{Silent}
PROC_ADJECTIVE_19	{Singular}
PROC_ADJECTIVE_20	{Stable}
PROC_ADJECTIVE_21	{Steady}
PROC_ADJECTIVE_22	{Strange}
PROC_ADJECTIVE_23	{Subdued}
PROC_ADJECTIVE_24	{Sublime}
PROC_ADJECTIVE_25	{Unusual}
PROC_ADJECTIVE_26	{Vibrant}
PROC_ADJECTIVE_27	{Vigilant}
PROC_ADJECTIVE_28	{Vivid}
PROC_NOUN_1	{Prayer}
PROC_NOUN_2	{Angle}
PROC_NOUN_3	{Arc}
PROC_NOUN_4	{Aspect}
PROC_NOUN_5	{Casting}
PROC_NOUN_6	{Clarity}
PROC_NOUN_7	{Concept}
PROC_NOUN_8	{Form}
PROC_NOUN_9	{Gift}
PROC_NOUN_10	{Gleam}
PROC_NOUN_11	{Gravity}
PROC_NOUN_12	{Harmony}
PROC_NOUN_13	{Hunter}
PROC_NOUN_14	{Impulse}
PROC_NOUN_15	{Intuition}
PROC_NOUN_16	{Insight}
PROC_NOUN_17	{Inspiration}
PROC_NOUN_18	{Inversion}
PROC_NOUN_19	{Loop}
PROC_NOUN_20	{Path}
PROC_NOUN_21	{Recoil}
PROC_NOUN_22	{Riposte}
PROC_NOUN_23	{Retort}
PROC_NOUN_24	{Return}
PROC_NOUN_25	{Shadow}
PROC_NOUN_26	{Surge}
PROC_NOUN_27	{Theory}
PROC_NOUN_28	{Trace}
GLXY_SCAN_LOCAL	{<IMG>GALAXYSCAN<> Scan Discoveries}
GLXY_SCAN_IN_PROGRESS	{SEARCHING ...}
GLXY_NAME_VARIANT_1	{%PROCNAME% Galaxy}
GLXY_NAME_VARIANT_2	{%PROCNAME% Dimension}
DISC_MISS_PERCT_COMPLETE	{%PERCENT% Complete}
DISC_MISS_REWARD_COMP	{Complete to Receive %UNITS% Units}
DISC_MISS_REWARD	{Upload and Receive %UNITS% Units}
DISC_MISS_REWARD_COMP_NANITES	{Complete to Receive %UNITS% Nanites}
DISC_MISS_REWARD_NANITES	{Upload and Receive %UNITS% Nanites}
DISC_OWNER_IS_PLAYER_NEW	{New Discovery}
VALUE_DESC	{Total Value <STAT>%TOTAL% Units<>}
VALUE_EACH	{(%UNIT% Units each)}
HAZARDBAR_EXTREME	{EXTREME}
HAZARDBAR_STORM	{STORM}
INV_PICKING	{MOVE AND STACK}
INV_PICKING_DESC	{Stack items, split stacks or move to other inventories}
GLXY_STAR_INVALID_JUMP	{%NAME% REQUIRED}
GLXY_SCAN_SELECT	{<IMG>PLAYER_RIGHT<> SELECT}
DISCS_UPLOADED_CREDIT	{Discoveries uploaded. %REWARD% Units received.}
SHIELD	{Shield}
CRITICAL_HIT	{critical}
GLXY_SCAN_SELECT_NR	{<IMG>GALAXYSCANNXT<> SELECT NEAREST}
GLXY_SCAN_ABORT	{<IMG>GALAXYSCAN<> ABORT SEARCH}
PROFANITY_TITLE	{Rejected By Profanity Filter}
PROFANITY_MSG	{Cannot accept this name, it has been rejected by the profanity filter.

Please try naming your Discovery again.}
UNREDEEMED_ITEMS_TITLE	{Unredeemed Items}
UNREDEEMED_ITEMS_DESC	{You have unredeemed items, to claim them please use the options menu.}
ITEM_NUM_SLOTS	{(%SLOTS% SLOTS)}
GLXY_ROUTE_BH	{Path towards Black Hole}
GLXY_ROUTE_ATLAS	{Path towards Atlas Interface}
OPTIONS_DEL_SAVE	{Delete Save Data}
OPTIONS_DEL_CHECK	{Are you sure you want to delete this save data? This action cannot be undone.}
DISC_REPORT_CHECK	{Are you sure you wish to report this for moderation?}
OPTIONS_NEWGAME	{เริ่มเกมใหม่}
OPTIONS_CONTINUE	{Continue Game}
OPTIONS_PHOTO_CHECK	{With remove HUD enabled you will not receive any on-screen notifications or warnings about hazards, danger or story events.}
DNT_CREDITS_LINE_001	{<CR_TITLE>Thank you<>}
DNT_CREDITS_LINE_002	{Thank you for playing No Man's Sky}
DNT_CREDITS_LINE_003	{We hope you enjoy our game}
DNT_CREDITS_LINE_004	{It means the world to our small team}
DNT_CREDITS_LINE_005	{BREAK}
DNT_CREDITS_LINE_006	{BREAK}
DNT_CREDITS_LINE_007	{<CR_TITLE>Hello Games<>}
DNT_CREDITS_LINE_008	{BREAK}
DNT_CREDITS_LINE_009	{<CR_TITLE>Development<>}
DNT_CREDITS_LINE_010	{Aaron Andrews}
DNT_CREDITS_LINE_011	{Adam Clixby}
DNT_CREDITS_LINE_012	{Amanda Allen}
DNT_CREDITS_LINE_013	{Beau Lamb}
DNT_CREDITS_LINE_014	{Ben Brooks}
DNT_CREDITS_LINE_015	{Charlie Tangora}
DNT_CREDITS_LINE_016	{David Ream}
DNT_CREDITS_LINE_017	{Grant Duncan}
DNT_CREDITS_LINE_018	{Iain Brown}
DNT_CREDITS_LINE_019	{Innes McKendrick}
DNT_CREDITS_LINE_020	{Jacob Golding}
DNT_CREDITS_LINE_021	{James Noonan}
DNT_CREDITS_LINE_022	{Jordan Peck}
DNT_CREDITS_LINE_023	{Jozsef Szollosi}
DNT_CREDITS_LINE_024	{Levi Naess}
DNT_CREDITS_LINE_025	{Louise Murray}
DNT_CREDITS_LINE_026	{Martin Griffiths}
DNT_CREDITS_LINE_027	{Matthew Green}
DNT_CREDITS_LINE_028	{Mike Clarke}
DNT_CREDITS_LINE_029	{Neil Wallace}
DNT_CREDITS_LINE_030	{Paul Weir}
DNT_CREDITS_LINE_031	{Ryan Doyle}
DNT_CREDITS_LINE_032	{Salvatore Giuffrida}
DNT_CREDITS_LINE_033	{Sam Lucas}
DNT_CREDITS_LINE_034	{Sam Swain}
DNT_CREDITS_LINE_035	{Sean Murray}
DNT_CREDITS_LINE_036	{Si Jaques}
DNT_CREDITS_LINE_037	{Stewart Lynch}
DNT_CREDITS_LINE_038	{Will Braham}
DNT_CREDITS_LINE_039	{BREAK}
DNT_CREDITS_LINE_040	{BREAK}
DNT_CREDITS_LINE_041	{<CR_TITLE>Music<>}
DNT_CREDITS_LINE_042	{65daysofstatic}
DNT_CREDITS_LINE_043	{BREAK}
DNT_CREDITS_LINE_044	{<CR_TITLE>Testing<>}
DNT_CREDITS_LINE_045	{Adam Smith}
DNT_CREDITS_LINE_046	{Carl Miller}
DNT_CREDITS_LINE_047	{Doug Purser}
DNT_CREDITS_LINE_048	{Jamie Cook}
DNT_CREDITS_LINE_049	{Tom Pink}
DNT_CREDITS_LINE_050	{BREAK}
DNT_CREDITS_LINE_051	{<CR_TITLE>Operations<>}
DNT_CREDITS_LINE_052	{Antonia Dedman}
DNT_CREDITS_LINE_053	{Jackie Redmond}
DNT_CREDITS_LINE_054	{Jenna Copley}
DNT_CREDITS_LINE_055	{Kelly Murrell}
DNT_CREDITS_LINE_056	{Sarah Webb}
DNT_CREDITS_LINE_057	{BREAK}
DNT_CREDITS_LINE_058	{BREAK}
DNT_CREDITS_LINE_059	{BREAK}
DNT_CREDITS_LINE_060	{BREAK}
DNT_CREDITS_LINE_061	{<CR_TITLE>Contributors<>}
DNT_CREDITS_LINE_062	{Alec Meer}
DNT_CREDITS_LINE_063	{Alex Chapman}
DNT_CREDITS_LINE_064	{Alex Wiltshire}
DNT_CREDITS_LINE_065	{Alison Greagsby}
DNT_CREDITS_LINE_066	{Chris Lee}
DNT_CREDITS_LINE_067	{Christian-Peter Heimbach}
DNT_CREDITS_LINE_068	{Greg Buchanan}
DNT_CREDITS_LINE_069	{Kristan Reed}
DNT_CREDITS_LINE_070	{BREAK}
DNT_CREDITS_LINE_071	{BREAK}
DNT_CREDITS_LINE_072	{BREAK}
DNT_CREDITS_LINE_073	{BREAK}
DNT_CREDITS_LINE_074	{BREAK}
DNT_CREDITS_LINE_075	{BREAK}
DNT_CREDITS_LINE_076	{BREAK}
DNT_CREDITS_LINE_077	{BREAK}
DNT_CREDITS_LINE_078	{BREAK}
DNT_CREDITS_LINE_079	{BREAK}
DNT_CREDITS_LINE_080	{BREAK}
DNT_CREDITS_LINE_081	{<CR_TITLE>Forerunners<>}
DNT_CREDITS_LINE_082	{Andrew Hutchings}
DNT_CREDITS_LINE_083	{Chris Cummings}
DNT_CREDITS_LINE_084	{Chris Hohbein}
DNT_CREDITS_LINE_085	{Dan Griliopoulos}
DNT_CREDITS_LINE_086	{Daniel Armesto}
DNT_CREDITS_LINE_087	{Don Williamson}
DNT_CREDITS_LINE_088	{Gareth Bourn}
DNT_CREDITS_LINE_089	{Giovanna Pellegrino}
DNT_CREDITS_LINE_090	{Harry Denholm}
DNT_CREDITS_LINE_091	{James Swallow}
DNT_CREDITS_LINE_092	{Jamie Thomson}
DNT_CREDITS_LINE_093	{Kristen McGorry}
DNT_CREDITS_LINE_094	{Lauran Carter}
DNT_CREDITS_LINE_095	{Martin Korda}
DNT_CREDITS_LINE_096	{Matt Reynolds}
DNT_CREDITS_LINE_097	{Peter Houska}
DNT_CREDITS_LINE_098	{Salwa Azar}
DNT_CREDITS_LINE_099	{Sandy White}
DNT_CREDITS_LINE_100	{Shanie Grant}
DNT_CREDITS_LINE_101	{Simon Carter}
DNT_CREDITS_LINE_102	{Suzy Wallace}
DNT_CREDITS_LINE_103	{Will Porter}
DNT_CREDITS_LINE_104	{BREAK}
DNT_CREDITS_LINE_105	{<CR_TITLE>People we love<>}
DNT_CREDITS_LINE_106	{Susie Williams}
DNT_CREDITS_LINE_107	{Vicky Ream}
DNT_CREDITS_LINE_108	{Astrid Steiner}
DNT_CREDITS_LINE_109	{Wendy Cummings}
DNT_CREDITS_LINE_110	{Amy Philips}
DNT_CREDITS_LINE_111	{Kim Perry}
DNT_CREDITS_LINE_112	{Jackie Tetley}
DNT_CREDITS_LINE_113	{Harriet Wilcox}
DNT_CREDITS_LINE_114	{Martin and Polly Tangora}
DNT_CREDITS_LINE_115	{Karin and Bill McKendrick}
DNT_CREDITS_LINE_116	{Billie Gartland}
DNT_CREDITS_LINE_117	{Caitlin Muir}
DNT_CREDITS_LINE_118	{Nikta Farrokhi}
DNT_CREDITS_LINE_119	{Kate and Sophie Carter}
DNT_CREDITS_LINE_120	{Ellie, Rory and Rose Murray}
DNT_CREDITS_LINE_121	{<CR_TITLE>Sony<>}
DNT_CREDITS_LINE_122	{BREAK}
DNT_CREDITS_LINE_123	{<CR_HEAD>Sony Worldwide Studios Europe<>}
DNT_CREDITS_LINE_124	{<CR_HEAD>International Software Department<>}
DNT_CREDITS_LINE_125	{BREAK}
DNT_CREDITS_LINE_126	{Ed Bushell: Producer}
DNT_CREDITS_LINE_127	{Sean Kelly: Director of International Development}
DNT_CREDITS_LINE_128	{Elodie Hummel: Executive Producer}
DNT_CREDITS_LINE_129	{Laura Cattaneo: Project Manager Localisation}
DNT_CREDITS_LINE_130	{BREAK}
DNT_CREDITS_LINE_131	{<CR_HEAD>Sony Interactive Entertainment Europe<>}
DNT_CREDITS_LINE_132	{Jim Ryan: President & CEO}
DNT_CREDITS_LINE_133	{Simon Rutter: European Executive Vice President}
DNT_CREDITS_LINE_134	{BREAK}
DNT_CREDITS_LINE_135	{<CR_HEAD>Strategic Content<>}
DNT_CREDITS_LINE_136	{Michael Patterson: Vice President, Third Party Relations and Strategic Content}
DNT_CREDITS_LINE_137	{Shahid Ahmad: Director, Strategic Content}
DNT_CREDITS_LINE_138	{Lorenzo Grimaldi: Production Manager, Strategic Content}
DNT_CREDITS_LINE_139	{Ben Andac: Executive Producer, Strategic Content}
DNT_CREDITS_LINE_140	{BREAK}
DNT_CREDITS_LINE_141	{<CR_HEAD>SIEE Marketing<>}
DNT_CREDITS_LINE_142	{Usama Al-Qassab: European VP Product Marketing}
DNT_CREDITS_LINE_143	{Toby Morrish: European Director of Software Marketing}
DNT_CREDITS_LINE_144	{Penrose Tackie: European Software Marketing Manager}
DNT_CREDITS_LINE_145	{Tim Hodges: European Product Manager}
DNT_CREDITS_LINE_146	{Chris Brown: European Product Manager}
DNT_CREDITS_LINE_147	{Simon Matthews: European PR Manager}
DNT_CREDITS_LINE_148	{Robert Walker: European Release Manager}
DNT_CREDITS_LINE_149	{Andy Hope: European Graphic Designer}
DNT_CREDITS_LINE_150	{Dominic Wiggan: European Copywriter}
DNT_CREDITS_LINE_151	{James Anderson: European Software Campaign Producer}
DNT_CREDITS_LINE_152	{Manij Shrestha: European CRM Coordinator}
DNT_CREDITS_LINE_153	{Yasmin Thomas: European Packaging Coordinator}
DNT_CREDITS_LINE_154	{BREAK}
DNT_CREDITS_LINE_155	{<CR_HEAD>User Research Team<>}
DNT_CREDITS_LINE_156	{Steve Bromley: User Researcher}
DNT_CREDITS_LINE_157	{Moh Khan: User Researcher}
DNT_CREDITS_LINE_158	{BREAK}
DNT_CREDITS_LINE_159	{BREAK}
DNT_CREDITS_LINE_160	{BREAK}
DNT_CREDITS_LINE_161	{<CR_HEAD>World Wide Studios QA-Europe<>}
DNT_CREDITS_LINE_162	{BREAK}
DNT_CREDITS_LINE_163	{Dave Parkinson: Director, Test Services and QA Engineering, WWS QA}
DNT_CREDITS_LINE_164	{BREAK}
DNT_CREDITS_LINE_165	{Kate Murray : Department Assistant}
DNT_CREDITS_LINE_166	{BREAK}
DNT_CREDITS_LINE_167	{<CR_HEAD>Release Management<>}
DNT_CREDITS_LINE_168	{Justin Bailey: Manager, Release Management}
DNT_CREDITS_LINE_169	{Steven Pajak : Associate Manager, Release Management}
DNT_CREDITS_LINE_170	{Michelle Tilley: Senior Release Manager, Release Management}
DNT_CREDITS_LINE_171	{Andy Godden : Release Manager, Release Management}
DNT_CREDITS_LINE_172	{BREAK}
DNT_CREDITS_LINE_173	{BREAK}
DNT_CREDITS_LINE_174	{<CR_HEAD>Business Services<>}
DNT_CREDITS_LINE_175	{Anthony Gill: Manager, Resource Services}
DNT_CREDITS_LINE_176	{Natalia Craddock : Principal Vendor Coordinator, Resource Services}
DNT_CREDITS_LINE_177	{Greg Tarka: Vendor Coordinator, Resource Services}
DNT_CREDITS_LINE_178	{Matthew Adderley : Principal Talent Coordinator, Resource Services}
DNT_CREDITS_LINE_179	{Tom Nicholson-Ihara : Asset Coordinator, Resource Services}
DNT_CREDITS_LINE_180	{BREAK}
DNT_CREDITS_LINE_181	{Michael Bishop: Senior Application Support Analyst, Tools Support}
DNT_CREDITS_LINE_182	{Steven Weir : Application Support Analyst, Tools Support}
DNT_CREDITS_LINE_183	{BREAK}
DNT_CREDITS_LINE_184	{James Dyce : Associate Translator, Translation Services}
DNT_CREDITS_LINE_185	{BREAK}
DNT_CREDITS_LINE_186	{<CR_HEAD>Test Services<>}
DNT_CREDITS_LINE_187	{Nadine Martin: Senior Manager, Test Services}
DNT_CREDITS_LINE_188	{BREAK}
DNT_CREDITS_LINE_189	{Fraser McLachlan : Test Manager, Test Services}
DNT_CREDITS_LINE_190	{Giovanna Pellegrino: Onsite Test Analyst, Tools & Test Engineering}
DNT_CREDITS_LINE_191	{BREAK}
DNT_CREDITS_LINE_192	{Andrew Durney: Functional Test Leads, Test Services}
DNT_CREDITS_LINE_193	{Ian McEvoy: Functional Test Leads, Test Services}
DNT_CREDITS_LINE_194	{Pete Fell : Functional Senior Tester, Test Services}
DNT_CREDITS_LINE_195	{Sam Hughes: Functional Senior Tester, Test Services}
DNT_CREDITS_LINE_196	{Adam Bramhill: Functional Testers, Test Services}
DNT_CREDITS_LINE_197	{Chris Gidwaney: Functional Testers, Test Services}
DNT_CREDITS_LINE_198	{Craig Harrison: Functional Testers, Test Services}
DNT_CREDITS_LINE_199	{Curtis Reekie: Functional Testers, Test Services}
DNT_CREDITS_LINE_200	{David Blakely: Functional Testers, Test Services}
DNT_CREDITS_LINE_201	{Iain McNulty: Functional Testers, Test Services}
DNT_CREDITS_LINE_202	{James Bergin: Functional Testers, Test Services}
DNT_CREDITS_LINE_203	{James Pollard: Functional Testers, Test Services}
DNT_CREDITS_LINE_204	{Jennifer Swann: Functional Testers, Test Services}
DNT_CREDITS_LINE_205	{Kyle Smith: Functional Testers, Test Services}
DNT_CREDITS_LINE_206	{Lee Picton: Functional Testers, Test Services}
DNT_CREDITS_LINE_207	{Neil Gaughan: Functional Testers, Test Services}
DNT_CREDITS_LINE_208	{Neil Harper: Functional Testers, Test Services}
DNT_CREDITS_LINE_209	{Paul Edwards: Functional Testers, Test Services}
DNT_CREDITS_LINE_210	{Rebecca Moore: Functional Testers, Test Services}
DNT_CREDITS_LINE_211	{Samuel Shutt: Functional Testers, Test Services}
DNT_CREDITS_LINE_212	{Shaun Doyle: Functional Testers, Test Services}
DNT_CREDITS_LINE_213	{Tyler Clark: Functional Testers, Test Services}
DNT_CREDITS_LINE_214	{BREAK}
DNT_CREDITS_LINE_215	{Nathan James: Test Coordinators, Test Services}
DNT_CREDITS_LINE_216	{Seamus Blakeway: Test Coordinators, Test Services}
DNT_CREDITS_LINE_217	{Paul Henderson: Test Coordinators, Test Services}
DNT_CREDITS_LINE_218	{BREAK}
DNT_CREDITS_LINE_219	{Lee Champion : TRC Test Lead, Test Services}
DNT_CREDITS_LINE_220	{Don Shallcross: TRC Senior Tester, Test Services}
DNT_CREDITS_LINE_221	{Stephen Quayle : TRC Testers, Test Services}
DNT_CREDITS_LINE_222	{BREAK}
DNT_CREDITS_LINE_223	{Chad Collinson: Localisation Test Leads, Test Services}
DNT_CREDITS_LINE_224	{Paul Wright: Localisation Test Leads, Test Services}
DNT_CREDITS_LINE_225	{Christine B-Marin : Localisation Coordinator, Test Services}
DNT_CREDITS_LINE_226	{Alexander Lavrenov: Localisation Testers, Test Services}
DNT_CREDITS_LINE_227	{Christoph Neubauer: Localisation Testers, Test Services}
DNT_CREDITS_LINE_228	{Claudia Gibbardo: Localisation Testers, Test Services}
DNT_CREDITS_LINE_229	{Fabio Jose Duarte Francisco: Localisation Testers, Test Services}
DNT_CREDITS_LINE_230	{Joanna Skorupa: Localisation Testers, Test Services}
DNT_CREDITS_LINE_231	{Lise Mortier: Localisation Testers, Test Services}
DNT_CREDITS_LINE_232	{Manuel Tena: Localisation Testers, Test Services}
DNT_CREDITS_LINE_233	{BREAK}
DNT_CREDITS_LINE_234	{<CR_HEAD>QA Engineering<>}
DNT_CREDITS_LINE_235	{Michael Davies: Manager, Tools & Test Engineering}
DNT_CREDITS_LINE_236	{Nathan Barguss : Senior Test Engineer, Tools & Test Engineering}
DNT_CREDITS_LINE_237	{BREAK}
DNT_CREDITS_LINE_238	{Christian Hopley: Principal Release Engineering Operative, Release Engineering}
DNT_CREDITS_LINE_239	{David Rigby : Release Engineering Operative, Release Engineering}
DNT_CREDITS_LINE_240	{Simon Edwards : Data Visualisation Engineer, Tools & Test Engineering}
DNT_CREDITS_LINE_241	{<CR_HEAD>Sony Worldwide Studios America<>}
DNT_CREDITS_LINE_242	{BREAK}
DNT_CREDITS_LINE_243	{Shawn Layden: Chairman, Worldwide Studios}
DNT_CREDITS_LINE_244	{BREAK}
DNT_CREDITS_LINE_245	{Shuhei Yoshida: President, Sony Interactive Entertainment, Worldwide Studios}
DNT_CREDITS_LINE_246	{BREAK}
DNT_CREDITS_LINE_247	{Scott Rohde: Senior Vice President, Worldwide Studios America}
DNT_CREDITS_LINE_248	{David Thach: Senior Director, International Software Development & Special Operations}
DNT_CREDITS_LINE_249	{Daimion Pinnock: Managing Producer}
DNT_CREDITS_LINE_250	{Victoria Miller: Producer}
DNT_CREDITS_LINE_251	{BREAK}
DNT_CREDITS_LINE_252	{BREAK}
DNT_CREDITS_LINE_253	{<CR_HEAD>Global Platform <>}
DNT_CREDITS_LINE_254	{Charles Connoy: Vice President, Global Platform}
DNT_CREDITS_LINE_255	{BREAK}
DNT_CREDITS_LINE_256	{<CR_HEAD>Quality Assurance<>}
DNT_CREDITS_LINE_257	{Ritchard Markelz: Senior Director}
DNT_CREDITS_LINE_258	{BREAK}
DNT_CREDITS_LINE_259	{BREAK}
DNT_CREDITS_LINE_260	{BREAK}
DNT_CREDITS_LINE_261	{<CR_HEAD>Test Services (US)<>}
DNT_CREDITS_LINE_262	{Rob Thompson: Director}
DNT_CREDITS_LINE_263	{Andrew Moore : Manager}
DNT_CREDITS_LINE_264	{Chris Paden: Manager}
DNT_CREDITS_LINE_265	{BREAK}
DNT_CREDITS_LINE_266	{<CR_HEAD>OCT Test Services<>}
DNT_CREDITS_LINE_267	{John Walker: Lead Quality Assurance Tester}
DNT_CREDITS_LINE_268	{BREAK}
DNT_CREDITS_LINE_269	{Dylan Keizur: Contingent Game Test Analysts}
DNT_CREDITS_LINE_270	{Nathan Alschbach: Contingent Game Test Analysts}
DNT_CREDITS_LINE_271	{Bryan Bowles: Contingent Game Test Analysts}
DNT_CREDITS_LINE_272	{Chris Clay: Contingent Game Test Analysts}
DNT_CREDITS_LINE_273	{Marcio Morais: Contingent Game Test Analysts}
DNT_CREDITS_LINE_274	{Dre Overstreet: Contingent Game Test Analysts}
DNT_CREDITS_LINE_275	{Kyle Sadler: Contingent Game Test Analysts}
DNT_CREDITS_LINE_276	{Jeffrey Turrietta: Contingent Game Test Analysts}
DNT_CREDITS_LINE_277	{BREAK}
DNT_CREDITS_LINE_278	{BREAK}
DNT_CREDITS_LINE_279	{BREAK}
DNT_CREDITS_LINE_280	{BREAK}
DNT_CREDITS_LINE_281	{<CR_HEAD>Network Test Services<>}
DNT_CREDITS_LINE_282	{Paul Flannigan: Lead Network Test Engineer}
DNT_CREDITS_LINE_283	{BREAK}
DNT_CREDITS_LINE_284	{Robby Cheverton : Network Test Engineer}
DNT_CREDITS_LINE_285	{Esau Garcia: Network Test Engineer}
DNT_CREDITS_LINE_286	{BREAK}
DNT_CREDITS_LINE_287	{BREAK}
DNT_CREDITS_LINE_288	{<CR_HEAD>WWS QA Engineering<>}
DNT_CREDITS_LINE_289	{Dave Parkinson: Director}
DNT_CREDITS_LINE_290	{BREAK}
DNT_CREDITS_LINE_291	{<CR_HEAD>Release Management<>}
DNT_CREDITS_LINE_292	{Brent Gocke: Manager}
DNT_CREDITS_LINE_293	{Ronald Pascucci: Senior Release Portfolio Manager}
DNT_CREDITS_LINE_294	{Ian Jones: Compliance Manager}
DNT_CREDITS_LINE_295	{Callista Tieu: Compliance Manager}
DNT_CREDITS_LINE_296	{BREAK}
DNT_CREDITS_LINE_297	{<CR_HEAD>SIEA Brand Marketing<>}
DNT_CREDITS_LINE_298	{Eric Lempel: Senior Vice President}
DNT_CREDITS_LINE_299	{BREAK}
DNT_CREDITS_LINE_300	{BREAK}
DNT_CREDITS_LINE_301	{<CR_HEAD>First Party Games<>}
DNT_CREDITS_LINE_302	{Asad Qizilbash: Senior Director}
DNT_CREDITS_LINE_303	{Mike Webster: Director}
DNT_CREDITS_LINE_304	{TJ Consunji : Senior Manager}
DNT_CREDITS_LINE_305	{Josh Sepielli: Brand Manager}
DNT_CREDITS_LINE_306	{BREAK}
DNT_CREDITS_LINE_307	{<CR_HEAD>Public Relations, Marketing Partnerships & Activations<>}
DNT_CREDITS_LINE_308	{Jennifer Clark: Vice President}
DNT_CREDITS_LINE_309	{Alyssa Casella: Director, Product Public Relations}
DNT_CREDITS_LINE_310	{Aram Jabbari: Manager, Public Relations}
DNT_CREDITS_LINE_311	{BREAK}
DNT_CREDITS_LINE_312	{<CR_HEAD>Creative, Design, Video, & Events<>}
DNT_CREDITS_LINE_313	{Joby Hirschfeld: Vice President}
DNT_CREDITS_LINE_314	{BREAK}
DNT_CREDITS_LINE_315	{<CR_HEAD>Video Production Department<>}
DNT_CREDITS_LINE_316	{Michael Brynteson: Executive Producer & Director}
DNT_CREDITS_LINE_317	{John Fletcher: Editor}
DNT_CREDITS_LINE_318	{BREAK}
DNT_CREDITS_LINE_319	{BREAK}
DNT_CREDITS_LINE_320	{BREAK}
DNT_CREDITS_LINE_321	{<CR_HEAD>SIEA Publisher Relations<>}
DNT_CREDITS_LINE_322	{Adam Boyes: Vice President}
DNT_CREDITS_LINE_323	{Gio Corsi: Senior Director and Account Executive}
DNT_CREDITS_LINE_324	{Shelby Cox: Director, Partner Alliances}
DNT_CREDITS_LINE_325	{Brian Silva: Senior Account Executive}
DNT_CREDITS_LINE_326	{Shane Bettenhausen: Senior Account Support Manager}
DNT_CREDITS_LINE_327	{Dan Hsu: Senior Manager Partner Alliances}
DNT_CREDITS_LINE_328	{John Kopp: Partner Alliances Manager}
DNT_CREDITS_LINE_329	{Andrew Wong: Partner Alliances Manager}
DNT_CREDITS_LINE_330	{BREAK}
DNT_CREDITS_LINE_331	{<CR_HEAD>Legal and Business Affairs <>}
DNT_CREDITS_LINE_332	{Riley Russell: Chief Legal Officer}
DNT_CREDITS_LINE_333	{Steve T. Madsen: Vice President, Deputy General Counsel}
DNT_CREDITS_LINE_334	{Anthony Justman: Vice President, Deputy General Counsel}
DNT_CREDITS_LINE_335	{Kevin G. Reilly: Senior Corporate Counsel}
DNT_CREDITS_LINE_336	{Lindsey Möhle: Senior Corporate Counsel}
DNT_CREDITS_LINE_337	{Christine DeNezza: Senior Manager}
DNT_CREDITS_LINE_338	{Senior Paralegal: Jim Foulds}
DNT_CREDITS_LINE_339	{BREAK}
DNT_CREDITS_LINE_340	{BREAK}
DNT_CREDITS_LINE_341	{<CR_HEAD>SPECIAL THANKS<>}
DNT_CREDITS_LINE_342	{We would like to thank each individual at Sony Interactive Entertainment America}
DNT_CREDITS_LINE_343	{for their contributions, support and dedication to the success of No Man's Sky}
DNT_CREDITS_LINE_344	{with special recognition to the Executive Management team including:}
DNT_CREDITS_LINE_345	{Andrew House, Shawn Layden, Jim Bass, Eric Lempel, Scott Rohde,}
DNT_CREDITS_LINE_346	{Glenn Nash, Riley Russell, Phil Rosenberg, Julie Currie, Jennifer Clark,}
DNT_CREDITS_LINE_347	{Stephen Turvey, and Shuhei Yoshida.}
DNT_CREDITS_LINE_348	{BREAK}
DNT_CREDITS_LINE_349	{BREAK}
DNT_CREDITS_LINE_350	{BREAK}
DNT_CREDITS_LINE_351	{BREAK}
DNT_CREDITS_LINE_352	{BREAK}
DNT_CREDITS_LINE_353	{BREAK}
